ID,Name,Description,Image URL,Name EN,Name AZ,Name RU,Name TR,Name IT,Name FR,Name HI,Name AR,Description EN,Description AZ,Description RU,Description TR,Description IT,Description FR,Description HI,Description AR
cat-8-burger-roll,Burger & Rolls,"Classic and gourmet sandwiches featuring juicy beef, turkey, or chicken patties, layered with fresh vegetables and flavorful sauces.",/static/images/categories/placeholder.jpg,Burger & Rolls,Burger & Rolls,Бургеры и роллы,Burger ve Rulolar,Hamburger e panini,Burger et petits pains,बर्गर और रोल्स,برجر ولفائف,"Classic and gourmet sandwiches featuring juicy beef, turkey, or chicken patties, layered with fresh vegetables and flavorful sauces.","Təzə tərəvəz və ləzzətli souslarla qatlanmış şirəli mal əti, hinduşka və ya toyuq köftələrindən ibarət klassik və gurme sendviçləri.","Классические и изысканные сэндвичи с сочными котлетами из говядины, индейки или курицы, прослоенными свежими овощами и ароматными соусами.","Sulu dana eti, hindi veya tavuk köftelerinin, taze sebzeler ve lezzetli soslarla katmanlandırıldığı klasik ve gurme sandviçler.","Panini classici e gourmet con succulenti hamburger di manzo, tacchino o pollo, farciti con verdure fresche e salse saporite.","Sandwichs classiques et gastronomiques composés de galettes de bœuf, de dinde ou de poulet juteuses, garnies de légumes frais et de sauces savoureuses.","रसदार बीफ, टर्की या चिकन पैटीज के साथ क्लासिक और स्वादिष्ट सैंडविच, ताजी सब्जियों और स्वादिष्ट सॉस के साथ परोसे जाते हैं।",سندويشات كلاسيكية ولذيذة تحتوي على قطع لحم البقر أو الديك الرومي أو الدجاج اللذيذة، مع طبقات من الخضروات الطازجة والصلصات اللذيذة.
cat-7-desert,Desserts,"Sweet treats including traditional Turkish desserts, creamy cakes, frozen delights, and layered pastries with rich fillings.",/static/images/categories/placeholder.jpg,Desserts,Desertlər,Десерты,Tatlılar,Dolci,Desserts,डेसर्ट,الحلويات,"Sweet treats including traditional Turkish desserts, creamy cakes, frozen delights, and layered pastries with rich fillings.","Ənənəvi türk desertləri, qaymaqlı tortlar, dondurulmuş ləzzətlər və zəngin içliklərlə qatlanmış xəmir xörəkləri daxil olmaqla şirin yeməklər.","Сладкие угощения, в том числе традиционные турецкие десерты, кремовые пирожные, замороженные деликатесы и многослойная выпечка с богатой начинкой.","Geleneksel Türk tatlıları, kremalı pastalar, dondurulmuş lezzetler ve zengin içerikli katlı pastalar gibi tatlı ikramlar.","Dolci prelibatezze tra cui tradizionali dessert turchi, torte cremose, delizie ghiacciate e pasticcini a strati con ricchi ripieni.","Des douceurs sucrées comprenant des desserts turcs traditionnels, des gâteaux crémeux, des délices glacés et des pâtisseries feuilletées avec des garnitures riches.","मीठे व्यंजनों में पारंपरिक तुर्की मिठाइयां, मलाईदार केक, जमे हुए व्यंजन और भरपूर भराई वाली परतदार पेस्ट्री शामिल हैं।",حلويات شهية بما في ذلك الحلويات التركية التقليدية، والكعك الكريمي، والمأكولات المجمدة، والمعجنات ذات الطبقات مع الحشوات الغنية.
cat-15-d-ni-z-m-hsullari-,Seafood,"Fresh and flavorful seafood dishes prepared with Mediterranean herbs, grilled fish, prawns, and other ocean delicacies.",/static/images/categories/placeholder.jpg,Seafood,Dəniz məhsulları,Морепродукты,Deniz ürünleri,Frutti di mare,Fruit de mer,समुद्री भोजन,المأكولات البحرية,"Fresh and flavorful seafood dishes prepared with Mediterranean herbs, grilled fish, prawns, and other ocean delicacies.","Aralıq dənizi otları, qızardılmış balıq, karides və digər okean delikatesləri ilə hazırlanmış təzə və dadlı dəniz məhsulları yeməkləri.","Свежие и ароматные блюда из морепродуктов, приготовленные со средиземноморскими травами, рыба на гриле, креветки и другие морские деликатесы.","Akdeniz otlarıyla hazırlanan taze ve lezzetli deniz ürünleri yemekleri, ızgara balık, karides ve diğer okyanus lezzetleri.","Piatti di pesce fresco e saporito preparati con erbe mediterranee, pesce alla griglia, gamberi e altre prelibatezze dell'oceano.","Plats de fruits de mer frais et savoureux préparés avec des herbes méditerranéennes, du poisson grillé, des crevettes et d'autres délices de l'océan.","भूमध्यसागरीय जड़ी-बूटियों, ग्रिल्ड मछली, झींगा और अन्य समुद्री व्यंजनों से तैयार ताजा और स्वादिष्ट समुद्री भोजन।",أطباق المأكولات البحرية الطازجة واللذيذة المحضرة باستخدام الأعشاب المتوسطية والأسماك المشوية والروبيان وغيرها من المأكولات البحرية الشهية.
cat-4-kabablar,Kebabs,"A variety of grilled and seasoned meats including lamb, beef, and chicken, cooked on skewers or open flame with traditional spices.",/static/images/categories/placeholder.jpg,Kebabs,Kabablar,Кебабы,Kebaplar,Kebab,Kebabs,कबाब,الكباب,"A variety of grilled and seasoned meats including lamb, beef, and chicken, cooked on skewers or open flame with traditional spices.","Şişlərdə və ya açıq alovda ənənəvi ədviyyatlarla bişmiş quzu, mal əti və toyuq da daxil olmaqla müxtəlif qızardılmış və ədviyyatlı ətlər.","Разнообразные виды мяса, приготовленные на гриле и приправленные, включая баранину, говядину и курицу, приготовленные на шампурах или на открытом огне с традиционными специями.","Kuzu eti, dana eti ve tavuk gibi çeşitli ızgara ve baharatlı etler, geleneksel baharatlarla şişte veya açık ateşte pişirilir.","Una varietà di carni grigliate e condite, tra cui agnello, manzo e pollo, cucinate su spiedini o sulla fiamma viva con spezie tradizionali.","Une variété de viandes grillées et assaisonnées, notamment de l'agneau, du bœuf et du poulet, cuites sur des brochettes ou à la flamme nue avec des épices traditionnelles.","विभिन्न प्रकार के ग्रिल्ड और मसालेदार मांस, जिनमें भेड़ का बच्चा, गाय का मांस और चिकन शामिल हैं, को पारंपरिक मसालों के साथ सीख या खुली आग पर पकाया जाता है।",مجموعة متنوعة من اللحوم المشوية والمتبلة بما في ذلك لحم الضأن ولحم البقر والدجاج، مطبوخة على أسياخ أو على نار مفتوحة مع التوابل التقليدية.
cat-6-pastalar,Pasta,Delicious pasta dishes ranging from creamy seafood blends to spicy tomato sauces and classic Italian favorites.,/static/images/categories/placeholder.jpg,Pasta,Makaron,Паста,Makarna,Pasta,Pâtes,पास्ता,المعكرونة,Delicious pasta dishes ranging from creamy seafood blends to spicy tomato sauces and classic Italian favorites.,Kremli dəniz məhsulları qarışıqlarından ədviyyatlı pomidor souslarına və klassik İtalyan sevimlilərinə qədər ləzzətli makaron yeməkləri.,Вкуснейшие блюда из пасты: от нежных смесей из морепродуктов до острых томатных соусов и классических итальянских блюд.,Kremalı deniz mahsulleri karışımlarından baharatlı domates soslarına ve klasik İtalyan lezzetlerine kadar uzanan lezzetli makarna çeşitleri.,"Deliziosi piatti di pasta che spaziano dai cremosi mix di frutti di mare alle salse di pomodoro piccanti, fino ai classici piatti italiani.",De délicieux plats de pâtes allant des mélanges de fruits de mer crémeux aux sauces tomates épicées et aux classiques italiens.,"स्वादिष्ट पास्ता व्यंजन, जिनमें मलाईदार समुद्री भोजन से लेकर मसालेदार टमाटर सॉस और क्लासिक इतालवी व्यंजन शामिल हैं।",أطباق المعكرونة اللذيذة تتراوح من مزيج المأكولات البحرية الكريمي إلى صلصات الطماطم الحارة والمفضلة الإيطالية الكلاسيكية.
cat-2-pi-zzalar,Pizzas,"Classic and gourmet pizzas with diverse toppings like fresh mozzarella, spicy meats, seafood, and locally inspired flavors.",/static/images/categories/placeholder.jpg,Pizzas,Pizzalar,Пиццы,Pizzalar,pizze,Pizzas,पिज़ा,البيتزا,"Classic and gourmet pizzas with diverse toppings like fresh mozzarella, spicy meats, seafood, and locally inspired flavors.","Təzə mozzarella, ədviyyatlı ətlər, dəniz məhsulları və yerli ləzzətlər kimi müxtəlif əlavələrlə klassik və gurme pizzalar.","Классические и изысканные пиццы с разнообразными начинками, такими как свежая моцарелла, острое мясо, морепродукты и местные вкусы.","Taze mozzarella peyniri, baharatlı etler, deniz ürünleri ve yöresel lezzetlerden esinlenerek hazırlanmış çeşitli soslarla hazırlanan klasik ve gurme pizzalar.","Pizze classiche e gourmet con diversi condimenti come mozzarella fresca, carni piccanti, frutti di mare e sapori di ispirazione locale.","Pizzas classiques et gourmandes avec des garnitures variées comme de la mozzarella fraîche, des viandes épicées, des fruits de mer et des saveurs d'inspiration locale.","ताजा मोज़ारेला, मसालेदार मांस, समुद्री भोजन और स्थानीय रूप से प्रेरित स्वाद जैसे विविध टॉपिंग के साथ क्लासिक और स्वादिष्ट पिज्जा।",بيتزا كلاسيكية ولذيذة مع إضافات متنوعة مثل جبن الموزاريلا الطازج واللحوم الحارة والمأكولات البحرية والنكهات المستوحاة محليًا.
cat-14-sac,Sac Dishes,"Traditional dishes cooked on a large flat griddle (sac), featuring tender meats and vegetables grilled to perfection.",/static/images/categories/placeholder.jpg,Sac Dishes,Sac qabları,Мешочки для тарелок,Sac Yemekleri,Piatti a sacco,Plats en sac,सैक डिशेज़,أطباق الكيس,"Traditional dishes cooked on a large flat griddle (sac), featuring tender meats and vegetables grilled to perfection.","Ənənəvi xörəklər, böyük yastı qabda (kisə) bişirilir, zərif ət və tərəvəzlər mükəmməl şəkildə qızardılır.","Традиционные блюда, приготовленные на большой плоской сковороде (сак), включают нежное мясо и овощи, идеально прожаренные на гриле.","Büyük düz bir sacda (sac) pişirilen, yumuşak etlerin ve sebzelerin mükemmel şekilde ızgara edildiği geleneksel yemekler.","Piatti tradizionali cucinati su una grande piastra piatta (sac), con carni tenere e verdure grigliate alla perfezione.","Plats traditionnels cuisinés sur une grande plaque plate (sac), mettant en vedette des viandes tendres et des légumes grillés à la perfection.","पारंपरिक व्यंजन एक बड़े चपटे तवे (थैले) पर पकाया जाता है, जिसमें कोमल मांस और सब्जियों को पूरी तरह से भून दिया जाता है।",أطباق تقليدية مطبوخة على شواية مسطحة كبيرة (ساك)، وتتميز باللحوم الطرية والخضروات المشوية إلى حد الكمال.
cat-3-salatlar,Salads,"Fresh, vibrant salads combining seasonal vegetables, grains, cheeses, and flavorful dressings.",/static/images/categories/placeholder.jpg,Salads,Salatlar,Салаты,Salatalar,Insalate,Salades,सलाद,السلطات,"Fresh, vibrant salads combining seasonal vegetables, grains, cheeses, and flavorful dressings.","Mövsümi tərəvəzləri, taxılları, pendirləri və ləzzətli sousları birləşdirən təzə, canlı salatlar.","Свежие, яркие салаты, сочетающие сезонные овощи, зерновые, сыры и ароматные заправки.","Mevsim sebzeleri, tahıllar, peynirler ve lezzetli soslarla hazırlanan taze, canlı salatalar.","Insalate fresche e vivaci che combinano verdure di stagione, cereali, formaggi e condimenti saporiti.","Salades fraîches et vibrantes combinant légumes de saison, céréales, fromages et vinaigrettes savoureuses.","मौसमी सब्जियों, अनाज, पनीर और स्वादिष्ट ड्रेसिंग का संयोजन वाला ताजा, जीवंत सलाद।",سلطات طازجة وحيوية تجمع بين الخضروات الموسمية والحبوب والأجبان والصلصات اللذيذة.
cat-9-soyuq-q-lyanaltilar,Cold Appetizers,"Cold starters including dips, spreads, cheeses, and fresh vegetable assortments perfect for sharing.",/static/images/categories/placeholder.jpg,Cold Appetizers,Soyuq qəlyanaltılar,Холодные закуски,Soğuk Mezeler,Antipasti freddi,Entrées froides,ठंडे ऐपेटाइज़र,المقبلات الباردة,"Cold starters including dips, spreads, cheeses, and fresh vegetable assortments perfect for sharing.","Soyuq başlanğıclar, o cümlədən dipslər, yayılmalar, pendirlər və bölüşmək üçün mükəmməl təzə tərəvəz çeşidləri.","Холодные закуски, в том числе соусы-дипы, спреды, сыры и ассорти из свежих овощей, идеально подходящие для совместного питания.","Soslar, ezmeler, peynirler ve taze sebze çeşitleri gibi soğuk mezeler, paylaşmaya değer.","Antipasti freddi con salse, creme spalmabili, formaggi e verdure fresche, perfetti da condividere.","Entrées froides comprenant des trempettes, des tartinades, des fromages et des assortiments de légumes frais, parfaits à partager.","ठंडे स्टार्टर्स में डिप्स, स्प्रेड्स, चीज और ताजा सब्जियों का मिश्रण शामिल है जो साझा करने के लिए उपयुक्त हैं।",المقبلات الباردة بما في ذلك الصلصات والمقبلات والأجبان وتشكيلة من الخضروات الطازجة المثالية للمشاركة.
cat-1-s-h-r-yem-yi,Breakfast,"Hearty and traditional breakfast options with eggs, sausages, pastries, and spreads to start your day right.",/static/images/categories/placeholder.jpg,Breakfast,Səhər yeməyi,Завтрак,Kahvaltı,Colazione,Petit-déjeuner,नाश्ता,إفطار,"Hearty and traditional breakfast options with eggs, sausages, pastries, and spreads to start your day right.","Gününüzə düzgün başlamaq üçün yumurta, kolbasa, xəmir və şirniyyatlarla doyurucu və ənənəvi səhər yeməyi seçimləri.","Сытные и традиционные варианты завтрака с яйцами, сосисками, выпечкой и намазками помогут вам правильно начать день.","Gününüze güzel bir başlangıç ​​yapmanızı sağlayacak yumurta, sosis, börek ve meze çeşitleriyle doyurucu ve geleneksel kahvaltı seçenekleri.","Opzioni per una colazione sostanziosa e tradizionale con uova, salsicce, dolci e creme spalmabili per iniziare bene la giornata.","Des options de petit-déjeuner copieuses et traditionnelles avec des œufs, des saucisses, des viennoiseries et des tartinades pour bien commencer votre journée.","अंडे, सॉसेज, पेस्ट्री और स्प्रेड के साथ हार्दिक और पारंपरिक नाश्ते के विकल्प आपके दिन की सही शुरुआत करेंगे।",خيارات إفطار شهية وتقليدية مع البيض والنقانق والمعجنات والمقبلات لبدء يومك بشكل صحيح.
