ID,Name,Description,Category ID,Category Name,Price,Available,Image URL,Popular,Preparation Time,Name EN,Name AZ,Name RU,Name TR,Name AR,Name HI,Name FR,Name IT,Description EN,Description AZ,Description RU,Description TR,Description AR,Description HI,Description FR,Description IT,Created At,Updated At
cat-8-burger-roll-7-burger-inn,Burger Inn ,,cat-8-burger-roll,Burger Roll,22.5,1,/spinner.svg,0,15,Burger Inn ,Burger Inn,Бургер Инн,Burger Inn,برجر إن,बर्गर इन,Burger Inn,Burger Inn,"Pizza Inn special triple-layer sandwich with beef, lettuce, and tomato","Pizza Inn mal əti, kahı və pomidor ilə xüsusi üç qatlı sendviç","Фирменный трехслойный сэндвич Pizza Inn с говядиной, салатом и помидорами","Pizza Inn'in özel üç katlı sandviçi dana eti, marul ve domatesle",ساندويتش بيتزا إن الخاص المكون من ثلاث طبقات مع لحم البقر والخس والطماطم,"पिज़्ज़ा इन का विशेष ट्रिपल-लेयर सैंडविच जिसमें बीफ, लेट्यूस और टमाटर शामिल हैं","Sandwich spécial à trois couches de Pizza Inn avec bœuf, laitue et tomate","Panino speciale a triplo strato di Pizza Inn con manzo, lattuga e pomodoro",2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-2-club-sendvi--,Club Sandwich ,,cat-8-burger-roll,Burger Roll,16,1,/spinner.svg,0,15,Club Sandwich ,Club Sendviç,Клаб-сэндвич,Kulüp sandviç,ساندويتش كلوب,क्लब सैंडविच ,Club Sandwich,Panino Club,"Classic triple-layer sandwich with beef, lettuce, and tomato","Mal əti, kahı və pomidor ilə klassik üç qatlı sendviç","Классический трехслойный сэндвич с говядиной, салатом и помидорами","Sığır eti, marul ve domatesle hazırlanan klasik üç katlı sandviç",ساندويتش كلاسيكي ثلاثي الطبقات مع لحم البقر والخس والطماطم,"गोमांस, सलाद पत्ता और टमाटर के साथ क्लासिक ट्रिपल-लेयर सैंडविच","Sandwich classique à trois couches avec bœuf, laitue et tomate","Classico panino a triplo strato con manzo, lattuga e pomodoro",2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-4-hamburger,Hamburger ,,cat-8-burger-roll,Burger Roll,19.9,1,/spinner.svg,0,15,Hamburger ,Hamburger,гамбургер,Hamburger,هامبرغر,हैमबर्गर,Hamburger,Hamburger,"Juicy beef patty with fresh lettuce, tomato, and onion","Təzə kahı, pomidor və soğan ilə şirəli mal əti köftesi","Сочная говяжья котлета со свежим салатом, помидорами и луком","Taze marul, domates ve soğanla sulu dana köftesi",فطيرة لحم بقري طرية مع خس طازج وطماطم وبصل,"ताजा सलाद, टमाटर और प्याज के साथ रसदार बीफ पैटी","Galette de bœuf juteuse avec laitue fraîche, tomate et oignon","Succoso hamburger di manzo con lattuga fresca, pomodoro e cipolla",2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-6-kesadi-lya,Quesadilla ,,cat-8-burger-roll,Burger Roll,19.9,1,/spinner.svg,0,15,Quesadilla ,Kesadilya,Кесадилья ,Quesadilla ,كيساديا,केसाडिला ,Quesadilla,Quesadilla ,Grilled tortilla filled with melted cheese and spices,Ərinmiş pendir və ədviyyatlarla doldurulmuş ızgara tortilla,"Жареная тортилья, наполненная плавленым сыром и специями",Eritilmiş peynir ve baharatlarla doldurulmuş ızgara tortilla,تورتيلا مشوية محشوة بالجبن الذائب والتوابل,पिघले हुए पनीर और मसालों से भरा ग्रिल्ड टॉर्टिला,Tortilla grillée farcie de fromage fondu et d'épices,Tortilla grigliata ripiena di formaggio fuso e spezie,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-1-toyuq-burger,Chicken Burger ,,cat-8-burger-roll,Burger Roll,14.5,1,/spinner.svg,0,15,Chicken Burger ,Toyuq Burger,Куриный бургер,Tavuk Burger,برجر دجاج,चिकन बर्गर,Burger au poulet,Hamburger di pollo,Tender grilled chicken breast with crisp vegetables,Xırtıldayan tərəvəz ilə qızardılmış toyuq göğsü,Нежная куриная грудка на гриле с хрустящими овощами,Kıtır sebzelerle yumuşak ızgara tavuk göğsü,صدر دجاج مشوي طري مع خضراوات مقرمشة,कुरकुरी सब्जियों के साथ नरम ग्रिल्ड चिकन ब्रेस्ट,Tendre poitrine de poulet grillée avec légumes croquants,Tenero petto di pollo alla griglia con verdure croccanti,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-3--i-zburger,Cheeseburger ,,cat-8-burger-roll,Burger Roll,21,1,/spinner.svg,0,15,Cheeseburger ,Çizburger,Чизбургер,Peynirli hamburger,تشيز برجر,चीज़बर्गर,Cheeseburger,Cheeseburger,Beef burger topped with melted cheese and classic fixings,Ərinmiş pendir və klassik fiksasiya ilə doldurulmuş mal əti burger,"Бургер с говядиной, плавленым сыром и классическими заправками",Eritilmiş peynir ve klasik malzemelerle tepesinde dana burger,برجر لحم بقري مغطى بالجبن الذائب والإضافات الكلاسيكية,पिघले हुए पनीर और क्लासिक सामग्री से सजा हुआ बीफ बर्गर,Burger de bœuf garni de fromage fondu et de garnitures classiques,Hamburger di manzo con formaggio fuso e contorni classici,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-8-burger-roll-5---l--burger,Triple Burger ,,cat-8-burger-roll,Burger Roll,23,1,/spinner.svg,0,15,Triple Burger ,Üçlü Burger,Тройной бургер,Üçlü Burger,برجر ثلاثي,ट्रिपल बर्गर,Triple Burger,Triplo hamburger,Three beef patties stacked high with cheese and toppings,Üç mal əti köftesi pendir və əlavələrlə üst-üstə yığılmışdır,"Три говяжьи котлеты, сложенные высоко с сыром и начинкой","Üç dana köftesi, peynir ve çeşitli malzemelerle üst üste dizilmiş",ثلاث فطائر لحم بقري مليئة بالجبن والإضافات,तीन बीफ पैटीज को पनीर और टॉपिंग के साथ ऊपर से रखा गया,Trois galettes de bœuf garnies de fromage et de garnitures,Tre hamburger di manzo ricoperti di formaggio e condimenti,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-9-balli-tort,Honey Cake ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Honey Cake ,Ballı Tort,Медовый торт,Ballı kek,كعكة العسل,शहद केक ,Gâteau au miel,Torta al miele,Moist layered cake sweetened with natural honey,Təbii bal ilə şirinləşdirilmiş nəm qatlı tort,"Влажный многослойный пирог, подслащенный натуральным медом",Doğal balla tatlandırılmış nemli katmanlı kek,كعكة رطبة متعددة الطبقات محلاة بالعسل الطبيعي,प्राकृतिक शहद से मीठा किया गया नमीयुक्त स्तरित केक,Gâteau moelleux en couches sucré au miel naturel,Torta umida a strati addolcita con miele naturale,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-5-dondurma,Ice Cream ,,cat-7-desert,Dessert,8,1,/spinner.svg,0,15,Ice Cream ,Dondurma,Мороженое ,Dondurma,بوظة ,आइसक्रीम ,Glace ,Gelato,Creamy frozen dessert in various flavors,Müxtəlif dadlarda kremli dondurulmuş desert,Сливочный замороженный десерт с разными вкусами,Çeşitli tatlarda kremalı dondurulmuş tatlı,حلوى مجمدة كريمية بنكهات مختلفة,विभिन्न स्वादों में मलाईदार जमे हुए मिठाई,Dessert glacé crémeux aux saveurs variées,Dessert congelato cremoso in vari gusti,2025-05-08 14:33:57,2025-05-08 14:33:57
cat-7-desert-15-havuc-di-li-m,Carrot Slices ,,cat-7-desert,Dessert,10,1,/spinner.svg,0,15,Carrot Slices ,Havuç Dilim,Морковные ломтики,Havuç dilimleri,شرائح الجزر,गाजर के टुकड़े,tranches de carottes,fette di carota,Fresh carrot sticks served as a healthy treat,Təzə yerkökü çubuqları sağlam bir müalicə kimi xidmət etdi,Свежие морковные палочки подаются как полезное угощение,Sağlıklı bir ikram olarak servis edilen taze havuç çubukları,أعواد الجزر الطازجة تقدم كوجبة صحية,ताजा गाजर की छड़ें एक स्वस्थ उपचार के रूप में परोसा जाता है,Bâtonnets de carottes fraîches servis comme une friandise saine,Bastoncini di carota freschi serviti come una sana sorpresa,2025-05-08 14:33:57,2025-05-08 14:33:57
