ID,Name,Description,Category ID,Category Name,Price,Size,Available,Image URL,Popular,Preparation Time,Category EN,Category AZ,Category RU,Category TR,Category AR,Category HI,Category FR,Category IT,Name EN,Name AZ,Name RU,Name TR,Name AR,Name HI,Name FR,Name IT,Description EN,Description AZ,Description RU,Description TR,Description AR,Description HI,Description FR,Description IT,Created At,Updated At
1,For one person,,,BREAKFAST,22.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,For one person,Bir nəfərlik,На одну персону,Tek kişilik,لشخص واحد,एक व्यक्ति के लिए,Pour une personne,Per una persona,,,,,,,,,,
2,For two persons,,,BREAKFAST,29.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,For two persons,İki nəfərlik,На две персоны,İki kişilik,لشخصين,दो व्यक्तियों के लिए,Pour deux personnes,Per due persone,,,,,,,,,,
3,For four persons,,,BREAKFAST,42.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,For four persons,Dörd nəfərlik,На четыре персоны,Dört kişilik,لأربعة أشخاص,चार व्यक्तियों के लिए,Pour quatre personnes,Per quattro persone,,,,,,,,,,
4,English Breakfast,,,BREAKFAST,13.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,English Breakfast,İngilis səhər yeməyi,Английский завтрак,İngiliz kahvaltısı,إفطار إنجليزي,इंग्लिश ब्रेकफास्ट,Petit-déjeuner anglais,Colazione inglese,,,,,,,,,,
5,Fried Eggs with Sujuk,,,BREAKFAST,9.20,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,Fried Eggs with Sujuk,Sucuklu yumurta,Яичница с суджуком,Sucuklu yumurta,بيض مع سجق,सुजुक के साथ अंडे,Œufs au soudjouk,Uova con salsiccia,,,,,,,,,,
6,Omelette,,,BREAKFAST,7.20,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,Omelette,Sadə omlet,Омлет,Sade omlet,أومليت سادة,सादा ऑमलेट,Omelette nature,Omelette semplice,,,,,,,,,,
7,Mixed Omelette,,,BREAKFAST,9.20,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,Mixed Omelette,Qarışıq omlet,Омлет с наполнителями,Karışık omlet,أومليت مشكل,मिक्स्ड ऑमलेट,Omelette mixte,Omelette mista,,,,,,,,,,
8,Omelette with Cheese,,,BREAKFAST,8.20,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,Omelette with Cheese,Pendirli omlet,Омлет с сыром,Peynirli omlet,أومليت بالجبن,पनीर वाला ऑमलेट,Omelette au fromage,Omelette al formaggio,,,,,,,,,,
9,Eggs with Vegetables,,,BREAKFAST,9.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BREAKFAST,SƏHƏR YEMƏYİ,ЗАВТРАКИ,KAHVALTI,الإفطار,नाश्ता,PETIT-DÉJEUNER,COLAZIONE,Eggs with Vegetables,Tərəvəzli yumurta,Яйца с овощами,Sebzeli yumurta,بيض مع خضار,सब्जियों के साथ अंडे,Œufs aux légumes,Uova con verdure,,,,,,,,,,
10,Mixed Bruschetta,,,APPETIZERS,12.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Mixed Bruschetta,Qarışıq brusketta,Ассорти брускетт,Karışık bruschetta,بروسكيتا مشكلة,मिक्स्ड ब्रुस्केटा,Bruschetta mixte,Bruschetta mista,,,,,,,,,,
